지점,지점명,일시,합계 일조시간(hr),평균 전운량(1/10)
143,대구,2021-03-01,0,9.9
143,대구,2021-03-02,0.3,8.3
143,대구,2021-03-03,6.8,5
143,대구,2021-03-04,0.1,8.5
143,대구,2021-03-05,8,6
143,대구,2021-03-06,1.4,8.3
143,대구,2021-03-07,0.4,8.3
143,대구,2021-03-08,10.2,0.5
143,대구,2021-03-09,6,6.6
143,대구,2021-03-10,10.5,0
143,대구,2021-03-11,7.7,6.6
143,대구,2021-03-12,0,9.4
143,대구,2021-03-13,10,2
143,대구,2021-03-14,9.2,2.6
143,대구,2021-03-15,8.9,5.6
143,대구,2021-03-16,9.6,3.6
143,대구,2021-03-17,10.5,2.5
143,대구,2021-03-18,8.6,2.9
143,대구,2021-03-19,5.8,7.3
143,대구,2021-03-20,0,9.4
143,대구,2021-03-21,8.6,5.8
143,대구,2021-03-22,11.1,1.6
143,대구,2021-03-23,11.2,0
143,대구,2021-03-24,4.1,6.3
143,대구,2021-03-25,11.3,0.8
143,대구,2021-03-26,9.7,4
143,대구,2021-03-27,0.1,9
143,대구,2021-03-28,8.2,4.6
143,대구,2021-03-29,5.5,3.4
143,대구,2021-03-30,9.5,3
143,대구,2021-03-31,10.7,4.4
