번호,구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치연월,위도,경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨설치유형,화장실입구CCTV설치유무,기저귀교환대장소,리모델링연월,데이터기준일자
28,개방화장실,달서구노인종합복지관 별관,"대구광역시 달서구 학산로 140 (본동, 달서구노인종합복지관)",,N,2,2,0,0,0,0,2,1,0,달서구노인종합복지관,,08:00~18:00,,35.83328619,128.5418032,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
29,개방화장실,달서구노인종합복지관 본관,"대구광역시 달서구 학산로 140 (본동, 달서구노인종합복지관)",,N,3,4,0,0,0,0,5,1,0,달서구노인종합복지관,,08:00~18:00,,35.83328619,128.5418032,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
30,개방화장실,올림픽기념국민생활관 3층,대구광역시 달서구 학산로 130,,N,3,4,0,0,0,0,3,1,0,올림픽기념국민생활관,,06:00~21:00,,35.83314358,128.5405566,지방자치단체,관광·체육시설,수세식,여자화장실,N,여자화장실,,2020-08-31
31,개방화장실,올림픽기념국민생활관 1층,대구광역시 달서구 학산로 130,,N,3,4,0,0,0,0,3,1,0,올림픽기념국민생활관,,06:00~21:00,,35.83314358,128.5405566,지방자치단체,관광·체육시설,수세식,여자화장실,N,여자화장실,,2020-08-31
32,개방화장실,올림픽기념국민생활관 2층,대구광역시 달서구 학산로 130,,N,3,4,0,0,0,0,3,1,0,올림픽기념국민생활관,,06:00~21:00,,35.83314358,128.5405566,지방자치단체,관광·체육시설,수세식,여자화장실,N,여자화장실,,2020-08-31
33,개방화장실,허병원,대구광역시 달서구 학산로 121 (본동),,N,2,0,0,0,0,0,2,1,0,달서구청 환경보호과,,09:00~18:00,,35.83364199,128.5396367,민간,기타,수세식,없음,N,없음,,2020-08-31
34,공중화장실,학산공원3,대구광역시 달서구 학산로 104-11,,N,0,0,0,0,0,0,4,0,0,달서구청 공원녹지과,,09:00~18:00,,35.83203305,128.5388929,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
35,공중화장실,학산공원2,대구광역시 달서구 학산로 104-11,,N,3,5,0,0,0,0,6,1,0,달서구청 공원녹지과,,09:00~18:00,,35.83203305,128.5388929,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
36,공중화장실,용산주유소,대구광역시 달서구 평리로 78 (용산동),,N,0,2,0,0,0,0,0,0,0,달서구청 환경보호과,,09:00~18:00,,35.85835081,128.5329367,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
37,개방화장실,달서구자원봉사센터 4층,"대구광역시 달서구 진천로9길 33 (진천동, 진천동행정복지센터)",,N,1,2,0,0,0,0,3,0,0,진천동행정복지센터,,09:00~18:00,,35.8122214,128.5228091,지방자치단체,공공용시설,수세식,없음,Y,없음,,2020-08-31
38,개방화장실,진천동행정복지센터 3층,"대구광역시 달서구 진천로9길 33 (진천동, 진천동행정복지센터)",,N,1,2,0,0,0,0,3,0,0,진천동행정복지센터,,09:00~18:00,,35.8122214,128.5228091,지방자치단체,공공용시설,수세식,없음,Y,없음,,2020-08-31
39,개방화장실,진천동행정복지센터 2층,"대구광역시 달서구 진천로9길 33 (진천동, 진천동행정복지센터)",,N,1,2,0,0,0,0,3,0,0,진천동행정복지센터,,09:00~18:00,,35.8122214,128.5228091,지방자치단체,공공용시설,수세식,없음,Y,없음,,2020-08-31
40,개방화장실,용산1동 행정복지센터 2층,"대구광역시 달서구 용산로 212-7 (용산동, 용산1동행정복지센터)",,N,2,3,0,0,0,0,5,1,0,용산1동 행정복지센터,,09:00~18:00,,35.85666404,128.531226,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
41,개방화장실,진천동행정복지센터 1층 장애인,"대구광역시 달서구 진천로9길 33 (진천동, 진천동행정복지센터)",,N,1,0,0,0,0,0,1,1,0,진천동행정복지센터,,09:00~18:00,,35.8122214,128.5228091,지방자치단체,공공용시설,수세식,없음,Y,없음,,2020-08-31
42,개방화장실,용산1동 행정복지센터 1층,"대구광역시 달서구 용산로 212-7 (용산동, 용산1동행정복지센터)",,N,2,3,0,0,0,0,5,1,0,용산1동 행정복지센터,,09:00~18:00,,35.85666404,128.531226,지방자치단체,공공용시설,수세식,,N,없음,,2020-08-31
43,개방화장실,죽전지구대,"대구광역시 달서구 용산로 212 (용산동, 죽전지구대)",,N,1,1,0,0,0,0,1,0,0,죽전파출소,,00:00~23:50,,35.85653043,128.5309622,국가,공공용시설,수세식,없음,N,없음,,2020-08-31
44,개방화장실,대구학생문화센터,"대구광역시 달서구 용산로 181 (용산동, 대구학생문화센터)",,N,16,22,0,0,0,0,17,1,0,학생문화센터 총무부,,09:00~18:00,,35.85302346,128.5295222,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
45,개방화장실,그랜드M타워,"대구광역시 달서구 용산로 141 (용산동, 그랜드M 타워)",,N,1,3,0,0,0,0,3,1,0,달서구청 환경보호과,,09:00~18:00,,35.85012847,128.5301263,민간,기타,수세식,없음,N,없음,,2020-08-31
46,개방화장실,죽전동행정복지센터 2층,"대구광역시 달서구 와룡로54길 28 (죽전동, 죽전동행정복지센터)",,Y,0,0,0,0,0,0,0,1,0,죽전동행정복지센터,,09:00~18:00,,35.85579022,128.5398036,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
47,개방화장실,죽전동행정복지센터 1층,"대구광역시 달서구 와룡로54길 28 (죽전동, 죽전동행정복지센터)",,N,1,0,0,0,0,0,1,1,0,죽전동행정복지센터,,09:00~18:00,,35.85579022,128.5398036,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
48,개방화장실,죽전동행정복지센터 입구,"대구광역시 달서구 와룡로54길 28 (죽전동, 죽전동행정복지센터)",,N,1,1,0,0,0,0,1,1,0,죽전동행정복지센터,,09:00~18:00,,35.85579022,128.5398036,지방자치단체,공공용시설,수세식,,N,없음,,2020-08-31
49,공중화장실,효원주유소,대구광역시 달서구 와룡로 76 (본리동),,Y,0,0,0,0,0,0,0,0,0,달서구청 환경보호과,,09:00~18:00,,35.83942256,128.5374818,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
50,공중화장실,본동문화주유소,대구광역시 달서구 와룡로 6 (본동),,N,1,1,0,0,0,0,1,0,0,달서구청 환경보호과,,09:00~18:00,,35.83325751,128.5384163,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
51,개방화장실,우리병원,"대구광역시 달서구 와룡로 48 (본동, 우리병원)",,N,2,2,0,0,0,0,3,1,0,달서구청 환경보호과,,09:00~18:00,,35.83682152,128.5373652,민간,기타,수세식,없음,N,없음,,2020-08-31
52,공중화장실,고려제2주유소,대구광역시 달서구 와룡로 283 (죽전동),,Y,0,0,0,0,0,0,0,0,0,달서구청 환경보호과,,09:00~18:00,,35.85817834,128.5368432,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
53,공중화장실,대성유니드주유소,대구광역시 달서구 와룡로 248 (죽전동),,N,2,2,0,0,0,0,1,0,0,달서구청 환경보호과,,09:00~18:00,,35.85496679,128.5376757,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
54,개방화장실,죽전119안전센터,"대구광역시 달서구 와룡로 222 (죽전동, 죽전119안전센터)",,N,2,2,0,0,0,0,2,0,0,죽전119안전센터,,09:00~18:00,,35.85259543,128.5376387,국가,공공용시설,수세식,없음,N,없음,,2020-08-31
55,개방화장실,미래여성병원,대구광역시 달서구 와룡로 207 (죽전동),,N,2,1,0,0,0,0,2,0,0,달서구청 환경보호과,,09:00~18:00,,35.8512147,128.5368062,민간,기타,수세식,없음,N,없음,,2020-08-31
56,개방화장실,죽전정형외과,대구광역시 달서구 와룡로 206 (죽전동),,N,1,1,0,0,0,0,2,1,0,달서구청 환경보호과,,09:00~18:00,,35.85106052,128.5375869,민간,기타,수세식,없음,N,없음,,2020-08-31
57,개방화장실,삼성전자 서비스센터,대구광역시 달서구 와룡로 180 (감삼동),,N,1,3,0,0,0,0,1,1,0,달서구청 환경보호과,,09:00~18:00,,35.84876742,128.5376312,민간,기타,수세식,없음,N,없음,,2020-08-31
58,개방화장실,대구개인택시조합제2충전소,대구광역시 달서구 와룡로 159 (감삼동),,N,2,2,0,0,0,0,0,0,0,달서구청 환경보호과,,09:00~18:00,,35.84688553,128.5362445,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
59,개방화장실,남부교육지원청 3층,대구광역시 달서구 송현로 192 (본동),,N,2,3,0,0,0,0,2,0,0,남부교육지원청 행정지원과,,08:00~21:00,,35.8349094,128.5453627,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
60,개방화장실,남부교육지원청 2층,대구광역시 달서구 송현로 192 (본동),,N,2,3,0,0,0,0,2,0,0,남부교육지원청 행정지원과,,08:00~21:00,,35.8349094,128.5453627,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
61,개방화장실,남부교육지원청 1층,대구광역시 달서구 송현로 192 (본동),,N,2,4,0,0,0,0,2,1,0,남부교육지원청 행정지원과,,08:00~21:00,,35.8349094,128.5453627,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
